               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092812,            0.037692,                   0,             0.53529,              0.5453,             0.48176,             0.14151,            0.060171,            0.025889,                   0,            0.070455,           0.0032828,           0.0032828
                   1,            0.064854,            0.027865,                   0,             0.41393,             0.65266,              0.4979,             0.18973,            0.065761,            0.014665,                   0,            0.040389,           0.0065507,           0.0065507
                   2,            0.059915,            0.022323,                   0,             0.36525,             0.52381,             0.43978,              0.1381,            0.061337,             0.01404,                   0,            0.010258,           0.0097525,           0.0097525
                   3,            0.052474,            0.019429,                   0,             0.67107,             0.70868,             0.74445,             0.29756,            0.048427,            0.013121,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.046487,            0.018011,                   0,             0.91406,             0.86835,             0.92837,             0.44351,            0.041639,            0.012719,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.043264,            0.016585,                   0,              0.9196,             0.92437,             0.95085,             0.44921,            0.041372,            0.012208,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.041032,            0.016402,                   0,             0.92361,             0.92717,             0.95134,             0.50352,            0.038119,             0.01234,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.040339,            0.016028,                   0,             0.92186,             0.94118,             0.96668,             0.47704,            0.038786,            0.012074,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.038006,            0.015745,                   0,             0.92611,             0.90476,             0.96071,              0.4698,            0.037466,            0.012414,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.03666,            0.015561,                   0,             0.90544,             0.95238,             0.96303,             0.49674,            0.036088,            0.011523,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.035737,            0.015164,                   0,             0.94789,             0.91036,             0.95988,              0.5012,            0.035919,            0.012999,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.034745,            0.015718,                   0,             0.93647,             0.94958,             0.97653,              0.5183,             0.03526,            0.011936,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.034292,            0.015292,                   0,             0.92871,             0.95238,             0.96798,             0.51814,            0.035501,            0.011692,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.033424,            0.015342,                   0,              0.9433,             0.93277,              0.9736,             0.54152,            0.033623,             0.01207,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.034226,            0.015248,                   0,             0.95007,             0.90476,             0.96915,             0.52236,            0.036181,            0.011804,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.031879,            0.014847,                   0,             0.90961,             0.93277,             0.95071,             0.48691,            0.034776,            0.011867,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.032504,            0.014579,                   0,             0.95878,             0.93557,             0.98082,             0.58098,            0.030351,            0.011322,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.031066,            0.014755,                   0,             0.92176,             0.94678,             0.97195,             0.54976,            0.032709,            0.011807,                   0,            0.008416,            0.008416,            0.008416
